k, flow, paths, time
10,4485, 94062, 22199858
10,4858, 94519, 22026388
10,3244, 94818, 14532628
10,5478, 95361, 37330380
10,5313, 95850, 36152779
10,4739, 96273, 24241442
10,5700, 96812, 32187310
10,4290, 97214, 21759881
10,4139, 97599, 24015512
10,4535, 98015, 20091856
10,3457, 98334, 15422998
10,5049, 98797, 23665195
10,4406, 99193, 18327768
10,2704, 99435, 11504794
10,3903, 99809, 19575607
10,4683, 100258, 23103304
10,3671, 100592, 17933558
10,4770, 101030, 18950882
10,5143, 101505, 22985744
10,4670, 101940, 20545018
10,4654, 102356, 19095185
10,4516, 102776, 23424911
10,4523, 103223, 22490192
10,4551, 103658, 20965839
10,4297, 104054, 16908743
10,3171, 104355, 13640593
11,12464, 105239, 97938712
11,12645, 106139, 91595920
11,14028, 107142, 102708873
11,11662, 107972, 83611512
11,10837, 108754, 81929176
11,9397, 109415, 68661817
11,10208, 110140, 80394616
11,12018, 111008, 89616992
11,11435, 111828, 83142515
11,8950, 112477, 67022408
11,8982, 113107, 93930783
11,11814, 113967, 96374931
11,9667, 114689, 73287914
11,10522, 115436, 78169907
11,8965, 116073, 63436738
11,10955, 116861, 79104406
11,10970, 117658, 81031360
11,14445, 118671, 110203868
11,11838, 119523, 98745254
11,8929, 120160, 57819525
11,9946, 120864, 68090676
11,11750, 121712, 91431354
11,9464, 122390, 72747035
11,11405, 123213, 86432846
11,8597, 123880, 78924489
11,9977, 124621, 84731416
11,10185, 125366, 89072706
11,7331, 125897, 53795623
11,9225, 126551, 70457180
11,9633, 127239, 67918356
11,7789, 127773, 56322627
11,6619, 128243, 51478448
11,9860, 128949, 82810668
11,9970, 129706, 89835621
11,11461, 130532, 89687223
11,7847, 131086, 59746440
11,8877, 131712, 75725824
11,9929, 132481, 98208186
11,7223, 133014, 53182853
11,12575, 133913, 104085342
11,10695, 134665, 89032599
11,8599, 135275, 63766174
11,8558, 135897, 64467877
11,8028, 136480, 60937467
11,8349, 137067, 61798225
11,10498, 137817, 74507542
11,8331, 138460, 65036885
11,10128, 139219, 84536302
11,8533, 139848, 65359439
11,10427, 140602, 73901685
11,10319, 141361, 75882183
11,10733, 142160, 81825642
11,9856, 142888, 72306804
11,10665, 143696, 97725560
11,11066, 144525, 93230529
11,9990, 145221, 69348718
11,10740, 145971, 80890896
11,12811, 146906, 98170832
11,8303, 147519, 62428325
11,9550, 148188, 63115174
11,9019, 148809, 72188533
11,11222, 149615, 95036622
11,12381, 150484, 114579100
11,11055, 151346, 106325409
11,7035, 151869, 62724162
11,9919, 152601, 103623052
11,11133, 153396, 111315587
11,8398, 154012, 73197693
11,8370, 154604, 73189432
11,9700, 155284, 83778487
11,10032, 156046, 75867245
11,12913, 156950, 106241308
11,9582, 157621, 84455099
11,8332, 158222, 76599028
11,7958, 158788, 52022769
11,9233, 159419, 90398739
11,8920, 160057, 88113658
11,13457, 161031, 101051549
11,9118, 161697, 67346315
11,12745, 162664, 94681214
11,12896, 163581, 91172898
11,9631, 164285, 77320961
11,9303, 164974, 73560467
11,10015, 165699, 81576425
11,11556, 166548, 85974357
11,12522, 167444, 88122679
11,10001, 168168, 70944721
11,10643, 168934, 76089925
11,12970, 169864, 92493921
11,9896, 170523, 70557681
11,10801, 171322, 77420749
11,11470, 172163, 95799048
11,9048, 172819, 66451946
11,7031, 173292, 50140300
11,12464, 174218, 102477254
11,10073, 174951, 87135587
11,9198, 175618, 76570229
11,9048, 176246, 71062705
11,11522, 177038, 102455584
11,10436, 177778, 99632950
12,24640, 179059, 298433847
12,26484, 180360, 305326742
12,21472, 181425, 255689048
12,26251, 182737, 306159750
12,19838, 183721, 246960661
12,25769, 185014, 296716537
12,24144, 186194, 265126008
12,25167, 187431, 264178750
12,20855, 188428, 229194215
12,19668, 189428, 238464253
12,17904, 190339, 210948306
12,24378, 191548, 265334226
12,24529, 192799, 282093806
12,21065, 193883, 262198009
12,24013, 195068, 270691155
12,15741, 195865, 199253660
12,24274, 197016, 256627913
12,20609, 198082, 236772476
12,24156, 199287, 268714992
12,20452, 200319, 246134488
12,20262, 201289, 223995545
12,23513, 202477, 289799903
12,23950, 203673, 264621981
12,15810, 204436, 168011105
12,17626, 205306, 200869582
12,25020, 206541, 298950367
12,22771, 207678, 258739150
