k, flow, paths, time
9,2808, 382, 5011644
9,2241, 301, 3986099
9,1215, 168, 2319739
9,1620, 218, 2937261
9,2039, 274, 3818451
9,2089, 285, 4419969
9,1885, 248, 3278181
9,1103, 143, 3286098
9,1576, 202, 6149785
9,2583, 341, 6571826
9,1642, 220, 3172748
9,2243, 309, 4529552
9,1847, 249, 3903519
9,1791, 255, 3735370
9,2043, 271, 3874909
9,1424, 178, 2296237
9,2052, 279, 3720735
9,2548, 332, 4881501
9,2453, 323, 4344040
9,2046, 297, 3719163
9,1925, 246, 4132350
9,2520, 316, 7776974
9,1862, 231, 3599300
9,2515, 343, 4655677
9,1833, 239, 3864857
9,2054, 273, 3678977
9,1851, 257, 3386934
9,3206, 440, 5961748
9,2779, 359, 4792999
9,2266, 318, 6840799
9,2566, 325, 4677267
9,2563, 349, 4522044
9,1617, 231, 3218545
9,1859, 242, 4996260
9,2269, 320, 8327154
9,2604, 345, 4490878
9,2296, 324, 4881584
9,1075, 139, 1946596
9,2242, 311, 4412180
9,2433, 346, 4683372
9,1469, 192, 2292764
9,1686, 220, 3106359
9,1680, 215, 3259548
10,3916, 382, 15616451
10,4413, 415, 11168184
10,5032, 473, 12740778
10,3678, 362, 9989052
10,4198, 409, 11804334
10,5405, 502, 20069940
10,4732, 452, 14713663
10,4635, 425, 12108552
10,5973, 546, 20871935
10,3989, 386, 10143303
10,4385, 398, 10426170
10,4166, 397, 11821434
10,5258, 510, 17880585
10,4570, 435, 13800000
10,4238, 403, 12326227
10,5195, 459, 13208838
10,4466, 411, 11863291
10,4411, 422, 10724860
10,3757, 348, 15505352
10,5482, 500, 21018461
10,3517, 324, 8479959
10,4223, 402, 12462207
10,5274, 485, 19059478
10,4996, 456, 12419023
10,5611, 552, 15736392
10,5178, 513, 18152549
10,4040, 375, 22003068
10,3802, 355, 19929000
10,4692, 461, 12508428
10,5538, 531, 18676922
10,4465, 413, 10534236
10,3601, 325, 9123229
10,3662, 348, 10234895
10,2970, 285, 8198812
10,5549, 526, 14836282
10,3230, 296, 7648980
10,4080, 383, 18887844
10,4264, 389, 11630634
10,5824, 533, 15039567
10,3569, 357, 9029450
10,4571, 419, 11253355
10,3656, 347, 16851343
10,3961, 368, 10156176
10,3995, 364, 10148259
10,4819, 461, 18037299
10,5031, 457, 20588868
10,2986, 291, 9739341
10,4515, 432, 11092152
10,4238, 420, 12043150
10,4627, 427, 12180456
10,5221, 463, 12864654
10,3854, 370, 11494670
10,3683, 356, 10343703
10,4699, 429, 19484328
10,4349, 396, 12643631
10,4091, 384, 15527981
10,4771, 461, 13651079
10,3559, 314, 11920097
10,4743, 446, 12945572
10,4842, 458, 12813005
10,4140, 394, 12020905
10,3920, 358, 10831407
10,3455, 331, 9647669
10,4434, 412, 11614376
10,2455, 242, 7641383
10,4817, 435, 13310740
10,3801, 349, 10174211
10,6206, 595, 22087142
10,3899, 360, 11092924
10,4821, 472, 14758394
10,4513, 413, 11591848
10,3069, 286, 8408826
10,5473, 498, 21134537
10,5470, 523, 15000485
10,4485, 416, 16893636
10,4858, 457, 12900128
10,3244, 299, 8504992
10,5478, 543, 15940223
10,5313, 489, 17334767
10,4739, 423, 17882575
10,5700, 539, 17598460
10,4290, 402, 11832242
10,4139, 385, 10137321
10,4535, 416, 11381243
10,3457, 319, 8848664
10,5049, 463, 13726717
10,4406, 396, 15809436
10,2704, 242, 8515473
10,3903, 374, 13509399
10,4683, 449, 14914587
10,3671, 334, 13689002
10,4770, 438, 11148903
10,5143, 475, 14369715
10,4670, 435, 12921168
10,4654, 416, 11903623
10,4516, 420, 16541592
10,4523, 447, 14338601
10,4551, 435, 13779803
10,4297, 396, 9986075
10,3171, 301, 8404982
11,12464, 884, 57277980
11,12645, 900, 67174416
11,14028, 1003, 71095420
11,11662, 830, 61206743
11,10837, 782, 60141021
11,9397, 661, 46139968
11,10208, 725, 48982448
11,12018, 868, 61244900
11,11435, 820, 61566223
11,8950, 649, 52143537
11,8982, 630, 46754561
11,11814, 860, 50177813
11,9667, 722, 43549216
11,10522, 747, 59692781
11,8965, 637, 45040682
11,10955, 788, 51582764
11,10970, 797, 47261391
11,14445, 1013, 65526057
11,11838, 852, 64969167
11,8929, 637, 42404572
11,9946, 704, 43637668
11,11750, 848, 71451055
11,9464, 678, 48008872
11,11405, 823, 62201886
11,8597, 667, 46040243
11,9977, 741, 56360146
11,10185, 745, 70348880
11,7331, 531, 35645022
11,9225, 654, 52916276
11,9633, 688, 43741887
11,7789, 534, 33488489
11,6619, 470, 36685528
11,9860, 706, 51659457
11,9970, 757, 55226212
11,11461, 826, 69421942
11,7847, 554, 34627616
11,8877, 626, 47368160
11,9929, 769, 56167157
11,7223, 533, 39705804
11,12575, 899, 66309005
11,10695, 752, 61335804
11,8599, 610, 47981891
11,8558, 622, 36012577
11,8028, 583, 42098081
11,8349, 587, 42787122
11,10498, 750, 57431905
11,8331, 643, 41527934
11,10128, 759, 68035881
11,8533, 629, 46308866
11,10427, 754, 53317706
11,10319, 759, 51115756
11,10733, 799, 59170513
11,9856, 728, 57918321
11,10665, 808, 64854881
11,11066, 829, 63876337
11,9990, 696, 40800207
11,10740, 750, 63991361
11,12811, 935, 62521001
11,8303, 613, 56581231
11,9550, 669, 54625108
11,9019, 621, 38976110
11,11222, 806, 65634880
11,12381, 869, 66145724
11,11055, 862, 64081393
11,7035, 523, 48149287
11,9919, 732, 58264245
11,11133, 795, 63653248
11,8398, 616, 51311522
11,8370, 592, 44370581
11,9700, 680, 57625572
11,10032, 762, 57937896
11,12913, 904, 70833318
11,9582, 671, 58854917
11,8332, 601, 60715015
11,7958, 566, 48051749
11,9233, 631, 53534865
11,8920, 638, 44076003
11,13457, 974, 77270563
11,9118, 666, 46121365
11,12745, 967, 74434046
11,12896, 917, 61890870
11,9631, 704, 51369536
11,9303, 689, 43494305
11,10015, 725, 46901657
11,11556, 849, 64450134
11,12522, 896, 59364072
11,10001, 724, 59821959
11,10643, 766, 56654508
11,12970, 930, 70426135
11,9896, 659, 42766657
11,10801, 799, 54189721
11,11470, 841, 62045592
11,9048, 656, 44376569
11,7031, 473, 35838397
11,12464, 926, 62360274
11,10073, 733, 45724225
11,9198, 667, 48830504
11,9048, 628, 42164213
11,11522, 792, 65185158
11,10436, 740, 53920932
12,24640, 1281, 170449340
12,26484, 1301, 175455985
12,21472, 1065, 151812838
12,26251, 1312, 169680372
12,19838, 984, 151792950
12,25769, 1293, 191725102
12,24144, 1180, 177045398
12,25167, 1237, 171234426
12,20855, 997, 149667316
12,19668, 1000, 165052821
12,17904, 911, 132909592
12,24378, 1209, 209684165
12,24529, 1251, 177589541
12,21065, 1084, 167576895
12,24013, 1185, 209300033
12,15741, 797, 127437210
12,24274, 1151, 163014208
12,20609, 1066, 168159417
12,24156, 1205, 176339921
12,20452, 1032, 166455128
12,20262, 970, 156178827
12,23513, 1188, 167512574
12,23950, 1196, 192144608
12,15810, 763, 124806553
12,17626, 870, 129369811
12,25020, 1235, 191707330
12,22771, 1137, 195314223
12,25523, 1280, 181616972
12,23880, 1173, 161148704
12,28567, 1410, 213200478
12,23696, 1148, 185149352
12,22615, 1090, 150400208
12,24348, 1204, 169455706
